[2025-12-01T02:47:06.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 3
[2025-12-01T02:47:09.267+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987549 não encontrada. Pulando.
[2025-12-01T02:47:09.267+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987550 não encontrada. Pulando.
[2025-12-01T02:47:09.268+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987551 não encontrada. Pulando.
[2025-12-01T02:47:09.268+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987552 não encontrada. Pulando.
[2025-12-01T02:47:09.268+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987553 não encontrada. Pulando.
[2025-12-01T02:47:09.269+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987554 não encontrada. Pulando.
[2025-12-01T02:47:09.269+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987555 não encontrada. Pulando.
[2025-12-01T02:47:09.269+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987556 não encontrada. Pulando.
[2025-12-01T02:47:09.270+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987557 não encontrada. Pulando.
[2025-12-01T02:47:09.270+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987558 não encontrada. Pulando.
[2025-12-01T02:47:09.270+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987559 não encontrada. Pulando.
[2025-12-01T02:47:09.271+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987560 não encontrada. Pulando.
[2025-12-01T02:47:09.271+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987561 não encontrada. Pulando.
[2025-12-01T02:47:09.271+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987562 não encontrada. Pulando.
[2025-12-01T02:47:09.271+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987563 não encontrada. Pulando.
[2025-12-01T02:47:09.272+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987564 não encontrada. Pulando.
